deney,yaklasim,model,split,n,n_mal,n_ben,note,accuracy,precision,recall,f1,roc_auc
Deney2_TemporalSplit,Statik,LGBMClassifier,val,1240,625,615,,0.9927,0.9968,0.9888,0.9928,0.9997
Deney2_TemporalSplit,Statik,LGBMClassifier,test,1227,623,604,,0.9902,0.9919,0.9888,0.9904,0.9983
Deney2_TemporalSplit,Statik,XGBClassifier,val,1240,625,615,,0.9927,0.9968,0.9888,0.9928,0.9995
Deney2_TemporalSplit,Statik,XGBClassifier,test,1227,623,604,,0.9894,0.9904,0.9888,0.9896,0.998
Deney2_TemporalSplit,Statik,RandomForestClassifier,val,1240,625,615,,0.9944,0.9984,0.9904,0.9944,0.9996
Deney2_TemporalSplit,Statik,RandomForestClassifier,test,1227,623,604,,0.991,0.992,0.9904,0.9912,0.9984
Deney2_TemporalSplit,Dinamik,LGBMClassifier,val,129,64,65,,0.9767,0.9841,0.9688,0.9764,0.9954
Deney2_TemporalSplit,Dinamik,LGBMClassifier,test,130,65,65,,0.9769,0.9559,1.0,0.9774,0.9998
Deney2_TemporalSplit,Dinamik,XGBClassifier,val,129,64,65,,0.9767,0.9841,0.9688,0.9764,0.9942
Deney2_TemporalSplit,Dinamik,XGBClassifier,test,130,65,65,,0.9769,0.9559,1.0,0.9774,0.9983
Deney2_TemporalSplit,Dinamik,RandomForestClassifier,val,129,64,65,,0.9767,0.9841,0.9688,0.9764,0.999
Deney2_TemporalSplit,Dinamik,RandomForestClassifier,test,130,65,65,,0.9769,0.9559,1.0,0.9774,0.9989
Deney2_TemporalSplit,Fusion,LGBMClassifier,val,65,0,65,tek_sinif_sha256_uyumsuzlugu,,,,,
Deney2_TemporalSplit,Fusion,LGBMClassifier,test,130,65,65,,0.9846,1.0,0.9692,0.9844,0.9953
Deney2_TemporalSplit,Fusion,XGBClassifier,val,65,0,65,tek_sinif_sha256_uyumsuzlugu,,,,,
Deney2_TemporalSplit,Fusion,XGBClassifier,test,130,65,65,,0.9923,1.0,0.9846,0.9922,0.9986
Deney2_TemporalSplit,Fusion,RandomForestClassifier,val,65,0,65,tek_sinif_sha256_uyumsuzlugu,,,,,
Deney2_TemporalSplit,Fusion,RandomForestClassifier,test,130,65,65,,0.9923,1.0,0.9846,0.9922,0.9964
